scheme,arraySize,cutoff,depth,avgTimeMs
cutoff,500000,5000,N/A,64.8
cutoff,500000,10000,N/A,33.3
cutoff,500000,50000,N/A,29.5
cutoff,500000,100000,N/A,29.5
cutoff,500000,250000,N/A,27.5
cutoff,500000,500000,N/A,30.8
cutoff,1000000,5000,N/A,66.8
cutoff,1000000,10000,N/A,59.5
cutoff,1000000,50000,N/A,57.5
cutoff,1000000,100000,N/A,61.0
cutoff,1000000,250000,N/A,60.0
cutoff,1000000,500000,N/A,62.3
cutoff,2000000,5000,N/A,125.5
cutoff,2000000,10000,N/A,122.8
cutoff,2000000,50000,N/A,121.3
cutoff,2000000,100000,N/A,114.5
cutoff,2000000,250000,N/A,116.8
cutoff,2000000,500000,N/A,119.3
cutoff,4000000,5000,N/A,288.3
cutoff,4000000,10000,N/A,264.0
cutoff,4000000,50000,N/A,262.0
cutoff,4000000,100000,N/A,287.0
cutoff,4000000,250000,N/A,257.3
cutoff,4000000,500000,N/A,254.8
depth,500000,N/A,1,34.0
depth,500000,N/A,2,31.3
depth,500000,N/A,3,33.3
depth,500000,N/A,4,29.8
depth,1000000,N/A,1,77.5
depth,1000000,N/A,2,65.5
depth,1000000,N/A,3,63.0
depth,1000000,N/A,4,59.3
depth,2000000,N/A,1,154.3
depth,2000000,N/A,2,123.8
depth,2000000,N/A,3,119.3
depth,2000000,N/A,4,116.0
depth,4000000,N/A,1,307.3
depth,4000000,N/A,2,266.5
depth,4000000,N/A,3,250.8
depth,4000000,N/A,4,221.0
combined,500000,50000,1,34.0
combined,500000,50000,2,28.0
combined,500000,50000,3,30.0
combined,500000,50000,4,27.5
combined,1000000,50000,1,70.0
combined,1000000,50000,2,101.5
combined,1000000,50000,3,59.0
combined,1000000,50000,4,65.0
combined,2000000,50000,1,156.5
combined,2000000,50000,2,123.8
combined,2000000,50000,3,127.5
combined,2000000,50000,4,118.3
combined,4000000,50000,1,312.0
combined,4000000,50000,2,255.0
combined,4000000,50000,3,249.8
combined,4000000,50000,4,253.0
baseline,500000,N/A,N/A,44.8
baseline,1000000,N/A,N/A,97.3
baseline,2000000,N/A,N/A,199.5
baseline,4000000,N/A,N/A,417.0
